suara,sah,jumlah,persentase_dari_suara_sah,persentase_dari_seluruh_suara
1. ROBIATUL ADAWIYAH,true,0,,0
10. MOHAMMAD DAMANHURI,true,0,,0
11. YUSUF AL FARIZI,true,0,,0
12. MOCHAMAD DIO,true,0,,0
13. DANY WIDIYANTO,true,0,,0
14. ELVA DEWI LESTARI,true,0,,0
15. MOH. TAMIM ANSORI,true,0,,0
16. MOH MUSTAKIM,true,0,,0
17. LILIK MAULIDA KHASANAH,true,0,,0
18. SANTI EKA ALVIONITA,true,0,,0
19. SAMHAJI,true,0,,0
2. ROMY YANSYAH,true,0,,0
3. RIPANDI,true,0,,0
4. KHARISMA HILMY DWI IFANGGA,true,0,,0
5. UFIATUN NAFISAH,true,0,,0
6. ARGA KIEN DWIJANA,true,0,,0
7. EVIANA RAMADHANI SUGIARTO,true,0,,0
8. IRFAN ZUHDA JOEHDANTO ASLAM,true,0,,0
9. MOHAMMAD DIMAS AGUNG DWIRYA,true,0,,0
(a) Tidak terdaftar dalam daftar pemilih,false,1,,100
(b) Di luar waktu pemungutan suara,false,0,,0
